age,gender,education_level,monthly_income,time_spent_on_social_media,platform_most_used,follow_influencers,ad_frequency,social_media_ads_clicks,perceived_discount,emotional_trigger_score,peer_influence_score,online_purchase_frequency,impulse_purchase
33,Female,High School,24401,3.0,Instagram,1,11,4,10,5,7,5,0
32,Male,High School,49191,0.8,TikTok,0,16,4,2,4,4,4,0
20,Female,Graduate,24198,4.8,TikTok,1,6,7,6,6,6,12,0
54,Male,Graduate,30643,1.6,Twitter,1,9,9,5,5,4,3,0
24,Male,High School,68710,1.9,Twitter,0,8,3,5,4,7,1,0
38,Male,High School,37139,1.4,TikTok,0,13,3,10,9,1,9,0
26,Female,Postgraduate,43261,2.3,TikTok,0,6,4,3,6,5,5,0
56,Female,Postgraduate,53051,4.7,TikTok,1,4,3,8,10,10,4,0
35,Male,Graduate,47435,3.4,YouTube,0,6,5,8,10,10,1,1
21,Male,High School,42256,1.6,Twitter,0,7,7,5,10,4,9,0
42,Female,High School,45474,5.3,TikTok,1,7,2,8,3,7,6,0
31,Male,High School,76051,5.3,Facebook,0,13,8,10,10,9,5,1
26,Female,Postgraduate,39135,5.3,Facebook,0,8,5,8,6,5,11,0
43,Female,High School,43016,1.8,YouTube,0,20,6,3,1,4,14,1
19,Male,Graduate,55759,3.0,YouTube,0,8,4,2,5,9,14,0
37,Male,High School,56582,5.9,Instagram,0,13,5,9,10,5,10,1
45,Other,Graduate,57805,4.7,Instagram,1,11,9,2,6,9,8,1
24,Male,Graduate,49580,0.6,Instagram,0,10,3,9,8,8,10,1
25,Male,Postgraduate,22854,0.9,YouTube,0,8,4,4,9,4,9,0
52,Female,High School,64501,3.1,YouTube,1,14,5,2,3,7,4,1
31,Other,High School,22804,5.5,YouTube,1,12,4,10,2,5,8,0
34,Other,High School,44539,3.5,Facebook,1,9,3,1,4,10,8,0
53,Female,Postgraduate,28685,3.2,YouTube,1,8,9,4,8,4,12,1
57,Male,Postgraduate,39037,1.1,Facebook,0,7,4,9,8,5,0,0
21,Male,Graduate,44931,4.1,Instagram,1,6,5,9,3,5,4,0
19,Female,Graduate,44820,5.0,Instagram,1,10,4,4,4,9,8,0
23,Female,Graduate,46328,2.6,Instagram,0,11,5,9,3,9,6,0
59,Male,High School,64205,4.8,TikTok,1,11,5,6,10,6,5,1
21,Other,Postgraduate,46803,5.8,TikTok,0,13,9,1,2,4,5,0
46,Male,Graduate,36337,1.6,Twitter,1,12,5,10,4,2,10,0
35,Female,Graduate,54461,3.4,Twitter,0,10,8,6,6,3,6,0
43,Male,Graduate,57842,2.1,Twitter,1,10,5,9,5,2,0,0
51,Female,High School,21585,4.9,TikTok,1,10,2,2,3,5,3,0
27,Male,High School,48961,3.7,TikTok,1,8,3,6,2,6,12,0
53,Male,Graduate,50517,4.0,Twitter,0,14,2,2,9,5,14,1
31,Male,High School,35536,4.9,Twitter,1,14,5,4,1,2,0,0
48,Female,Graduate,60635,2.7,YouTube,1,9,3,8,9,5,5,0
32,Female,High School,37749,5.5,Twitter,1,11,3,7,1,9,13,0
25,Female,Graduate,41883,3.4,YouTube,1,10,6,9,7,4,12,0
31,Other,High School,37403,1.4,Facebook,1,13,6,7,6,10,3,1
40,Male,Graduate,40233,4.3,TikTok,1,8,6,1,7,2,0,0
57,Male,Graduate,23555,4.9,Twitter,0,11,5,2,3,3,8,0
38,Female,High School,18399,2.2,TikTok,1,7,4,6,3,3,11,0
33,Male,Graduate,63917,5.2,TikTok,0,10,2,7,1,9,3,0
35,Other,Graduate,27295,5.5,TikTok,1,13,6,3,4,4,11,0
41,Male,Graduate,25129,2.0,Facebook,1,11,5,9,2,1,5,0
43,Other,Postgraduate,7699,5.9,Instagram,1,9,4,7,10,1,12,0
42,Male,Graduate,30415,1.3,Twitter,0,8,4,6,8,7,6,0
58,Female,High School,20153,1.6,Instagram,1,7,4,6,3,7,7,0
46,Female,High School,64630,1.5,Instagram,1,11,7,1,7,2,11,0
32,Other,High School,55147,5.4,Instagram,1,11,4,5,7,9,12,1
18,Male,Graduate,29677,4.1,TikTok,1,10,5,10,9,9,10,1
42,Female,High School,73786,1.3,YouTube,0,16,4,3,6,5,8,1
24,Other,Graduate,54726,2.9,TikTok,1,12,3,7,1,3,8,0
26,Female,Graduate,35127,3.9,TikTok,1,7,6,10,8,3,7,0
41,Female,Graduate,2508,1.0,Instagram,0,10,7,3,1,3,9,0
18,Female,Graduate,74364,5.4,TikTok,0,6,8,5,3,6,10,0
25,Female,High School,19156,4.9,Instagram,1,8,3,7,5,4,14,0
41,Female,High School,15319,3.3,YouTube,1,7,3,3,8,8,11,0
28,Female,Graduate,55338,5.8,Twitter,1,10,6,10,9,5,11,1
34,Other,Graduate,76596,2.8,Instagram,1,15,3,2,7,1,14,0
25,Male,Graduate,60764,5.9,YouTube,0,15,3,6,9,9,13,1
52,Male,Graduate,48458,4.2,Twitter,0,11,3,8,3,1,2,0
52,Other,High School,48921,4.0,Facebook,0,11,4,4,5,6,11,0
50,Female,Postgraduate,52801,1.4,Instagram,0,10,4,9,10,1,1,0
22,Female,Graduate,51383,5.4,Instagram,0,9,1,8,8,3,4,0
59,Female,Graduate,44217,2.9,Facebook,0,12,5,7,1,10,0,0
56,Male,High School,41563,1.4,Facebook,1,5,10,7,8,5,2,0
58,Male,Graduate,39061,0.6,Instagram,1,9,4,3,7,10,0,1
45,Female,Graduate,28690,3.6,Facebook,1,8,9,6,1,7,12,0
24,Male,High School,35789,3.4,TikTok,1,11,2,5,10,10,2,1
26,Female,Postgraduate,14605,4.5,Twitter,1,7,5,1,10,8,12,1
25,Male,High School,38524,5.4,Twitter,0,11,9,3,6,9,3,1
29,Other,Postgraduate,25171,0.9,Twitter,0,10,8,1,1,6,6,0
51,Other,Graduate,23446,4.5,TikTok,0,15,2,4,2,9,11,0
50,Female,High School,42698,1.5,Facebook,0,10,3,10,5,8,14,0
40,Female,Graduate,60880,5.2,YouTube,1,10,3,3,2,9,11,0
41,Male,Postgraduate,53774,5.0,Facebook,0,9,4,4,10,10,4,1
54,Female,Graduate,16442,3.5,Instagram,0,8,2,9,1,4,4,0
52,Female,Postgraduate,25155,4.4,Twitter,0,8,6,3,6,9,12,1
57,Male,Graduate,54111,2.2,Facebook,1,16,2,6,8,7,0,1
39,Other,Graduate,25262,3.1,YouTube,1,7,6,6,8,5,7,0
44,Female,Postgraduate,36630,5.0,Instagram,1,7,5,7,8,5,12,0
52,Other,High School,48250,3.0,TikTok,0,8,6,9,6,1,3,0
18,Female,Graduate,25474,2.5,TikTok,1,9,4,7,3,2,9,0
52,Female,High School,41580,3.2,YouTube,1,7,3,1,1,10,4,0
54,Male,Postgraduate,19989,5.1,Instagram,1,11,3,8,2,3,1,0
31,Other,Postgraduate,30979,2.3,Twitter,1,6,2,5,5,8,14,0
20,Female,High School,44796,1.5,Facebook,0,13,7,9,10,6,11,1
18,Male,Graduate,16105,4.4,Instagram,1,14,3,10,5,10,12,1
22,Male,Postgraduate,46607,5.0,TikTok,1,9,7,5,10,5,0,1
43,Male,High School,39705,1.1,YouTube,0,8,3,5,1,1,8,0
31,Female,Graduate,48287,1.8,YouTube,1,5,4,2,1,9,14,0
56,Other,Postgraduate,43358,1.3,Facebook,1,13,4,3,9,3,1,1
44,Male,High School,60462,2.4,YouTube,0,10,6,10,2,3,5,0
26,Female,Graduate,41878,3.0,YouTube,1,6,4,9,7,2,0,0
32,Male,High School,33558,4.6,Instagram,1,11,2,7,10,4,0,0
32,Other,Postgraduate,41834,4.1,Twitter,1,9,5,1,4,2,8,0
43,Female,Postgraduate,48149,3.9,Facebook,0,3,5,3,7,9,3,0
59,Female,Postgraduate,40732,2.4,Instagram,1,10,4,2,8,10,8,1
30,Female,Graduate,40608,5.1,Twitter,0,9,6,1,5,7,10,0
49,Male,Postgraduate,29470,3.1,Instagram,1,16,5,9,1,8,4,1
56,Male,Postgraduate,30056,5.9,Instagram,0,5,2,8,4,3,6,0
49,Male,Graduate,18960,4.0,YouTube,1,9,4,5,10,6,0,1
21,Female,Postgraduate,66243,1.2,Twitter,1,11,4,2,3,10,5,0
47,Female,High School,21342,4.2,Facebook,1,12,6,1,10,6,7,1
54,Other,Graduate,29606,2.3,Facebook,1,14,6,7,5,1,13,0
40,Other,High School,29223,4.3,Twitter,1,12,6,2,10,6,0,1
56,Female,High School,53423,0.9,YouTube,1,7,5,1,10,3,8,0
32,Female,High School,35575,1.5,TikTok,0,13,6,2,6,3,2,0
46,Other,Graduate,58716,5.2,Instagram,1,13,4,7,2,3,0,0
53,Female,Graduate,29897,1.7,YouTube,0,6,8,7,7,10,0,1
30,Male,Graduate,44184,5.1,Twitter,1,11,6,10,3,10,12,1
49,Female,High School,27469,2.0,Instagram,0,12,2,6,1,8,13,0
24,Male,Graduate,72177,4.0,Facebook,1,6,5,5,10,5,10,0
39,Other,Graduate,22186,4.3,TikTok,1,10,5,3,3,4,5,0
45,Female,Graduate,44647,3.3,Facebook,1,14,9,3,9,9,10,1
19,Male,Graduate,49506,2.2,Twitter,0,15,7,9,10,9,5,1
59,Female,Graduate,46206,1.7,Instagram,1,7,3,4,6,1,0,0
23,Female,Postgraduate,37220,0.7,Twitter,1,11,9,9,6,2,13,0
45,Male,Graduate,38052,2.2,Instagram,1,13,6,4,4,8,13,1
45,Male,High School,40657,4.1,YouTube,0,7,3,2,8,5,2,0
37,Female,High School,37794,5.7,TikTok,1,12,8,4,5,7,6,1
47,Female,Postgraduate,54458,5.3,YouTube,1,9,4,6,7,1,9,0
28,Female,High School,73157,4.7,YouTube,1,16,7,6,9,10,2,1
45,Female,Postgraduate,31637,4.8,Twitter,1,7,10,5,5,5,2,0
42,Female,Graduate,19452,4.2,TikTok,1,11,6,1,5,3,2,0
56,Female,Postgraduate,38675,1.9,Instagram,0,7,6,3,4,10,11,0
50,Female,Graduate,78695,5.5,Instagram,0,10,3,5,6,2,6,0
18,Female,Postgraduate,27944,4.2,Facebook,0,11,4,6,2,2,3,0
44,Male,Graduate,64586,3.6,Instagram,0,3,2,1,3,9,3,0
30,Male,Graduate,65165,1.1,Twitter,1,9,6,9,1,4,2,0
58,Male,Graduate,31696,3.0,YouTube,1,18,6,3,2,4,9,1
20,Female,Graduate,48534,3.0,YouTube,0,12,5,10,2,7,10,0
56,Female,Graduate,64425,5.3,YouTube,1,10,5,3,8,10,8,1
23,Female,Postgraduate,34313,3.5,TikTok,0,7,5,2,8,10,1,1
25,Male,Postgraduate,36946,2.6,Instagram,1,10,5,8,2,2,3,0
44,Male,Graduate,31274,5.9,Twitter,1,15,5,3,6,3,7,1
26,Male,Graduate,24778,1.1,TikTok,0,7,2,6,5,3,5,0
54,Male,Graduate,30260,2.8,Facebook,0,12,3,2,3,6,13,0
50,Female,Graduate,21640,0.7,Twitter,1,8,1,7,5,3,6,0
59,Male,High School,40511,4.6,Twitter,0,14,3,4,5,5,12,0
41,Male,High School,28450,5.5,Twitter,1,10,3,9,5,4,6,0
32,Other,Graduate,43506,2.0,YouTube,1,8,5,10,3,3,1,0
49,Male,High School,16661,5.2,Twitter,1,5,6,9,3,8,3,0
49,Female,High School,44963,2.1,Instagram,0,9,5,7,4,10,9,0
41,Female,High School,52502,5.5,Twitter,1,7,4,8,7,3,9,0
58,Male,High School,10093,4.6,YouTube,1,13,5,3,2,6,5,0
29,Female,High School,45610,4.9,Twitter,1,9,6,5,10,7,2,1
56,Female,Postgraduate,58415,0.6,Facebook,0,10,3,2,4,7,8,0
19,Other,Graduate,21855,5.8,Facebook,1,15,1,10,4,2,12,0
20,Male,Graduate,65088,4.5,YouTube,1,14,3,7,1,3,3,0
54,Other,Graduate,46285,2.2,Instagram,1,13,5,8,10,10,9,1
34,Female,High School,29424,5.1,Instagram,0,12,5,9,8,10,12,1
19,Male,Postgraduate,39163,2.0,TikTok,1,7,4,7,1,4,1,0
19,Female,Graduate,48374,5.3,YouTube,0,9,3,10,8,7,5,0
45,Other,High School,41140,1.1,Twitter,1,9,5,10,7,2,0,0
40,Female,Graduate,48081,4.4,YouTube,1,9,4,8,9,3,5,0
54,Male,Postgraduate,26189,3.5,TikTok,1,10,5,9,8,7,12,1
49,Female,Postgraduate,42540,1.0,YouTube,1,8,9,6,5,7,11,1
50,Male,Graduate,18794,1.8,YouTube,1,9,3,10,8,10,9,1
18,Male,Graduate,38331,0.6,TikTok,1,15,6,2,10,3,0,1
36,Male,High School,26441,3.1,Instagram,0,6,3,2,3,1,13,0
19,Male,Postgraduate,28967,2.2,Twitter,1,9,8,4,10,3,7,1
43,Male,High School,58541,3.8,TikTok,1,12,5,9,7,5,4,1
49,Male,Postgraduate,56369,2.1,Facebook,1,8,5,7,4,7,5,0
23,Female,Graduate,49137,2.1,Instagram,0,3,3,2,5,4,1,0
49,Male,Graduate,23615,4.6,Facebook,1,8,5,8,9,1,1,0
21,Male,Graduate,35253,0.8,Instagram,1,17,2,7,7,6,11,1
28,Female,High School,58196,5.5,Twitter,0,8,4,9,4,2,8,0
34,Female,High School,42125,5.2,Twitter,1,8,8,8,6,3,2,0
55,Female,High School,74789,4.2,YouTube,0,16,4,3,10,4,5,1
41,Male,High School,45899,3.8,Facebook,0,9,6,1,7,6,9,0
22,Male,Graduate,42880,5.4,Instagram,0,8,8,2,10,6,4,1
51,Male,Graduate,35363,1.5,Twitter,0,12,2,2,9,7,13,1
23,Male,High School,42003,0.9,TikTok,1,11,3,4,4,5,11,0
39,Male,Postgraduate,37712,1.8,Twitter,0,4,7,6,10,7,3,0
28,Male,Postgraduate,50621,4.9,TikTok,1,11,4,4,3,2,9,0
33,Male,Postgraduate,54350,0.7,Instagram,0,6,8,9,8,1,1,0
50,Male,Postgraduate,28210,3.7,Twitter,1,7,4,4,1,10,7,0
26,Female,High School,20031,6.0,Twitter,1,9,4,6,9,8,9,1
23,Male,Graduate,12456,5.2,Instagram,0,7,4,6,1,1,6,0
33,Male,Graduate,47619,3.4,Twitter,0,7,6,10,2,2,10,0
46,Female,Graduate,23449,0.9,TikTok,1,5,7,10,8,10,1,1
20,Female,High School,7706,5.1,Twitter,0,8,2,1,9,6,5,0
37,Male,Postgraduate,45828,3.8,Facebook,1,8,5,8,7,1,13,0
53,Female,High School,77394,1.1,YouTube,0,12,5,3,3,10,7,1
36,Female,High School,39908,1.0,TikTok,1,12,5,6,7,3,6,0
43,Male,Graduate,52577,5.5,Facebook,0,7,4,3,6,7,14,0
20,Female,Graduate,41227,4.2,Instagram,1,8,6,2,2,8,0,0
36,Other,Graduate,38516,5.1,TikTok,0,10,4,5,3,4,4,0
37,Male,High School,53786,5.3,YouTube,1,8,5,1,10,3,1,0
49,Male,Postgraduate,35645,3.6,YouTube,0,6,4,9,10,1,5,0
24,Female,High School,44010,3.3,Instagram,1,13,3,7,5,9,6,1
58,Female,High School,44825,2.9,Instagram,1,8,3,3,10,10,13,1
50,Male,Postgraduate,29978,2.2,TikTok,0,8,4,4,4,6,13,0
57,Male,Postgraduate,54880,2.9,Twitter,1,8,3,6,2,6,6,0
56,Male,Postgraduate,37375,4.8,Instagram,0,6,7,3,4,9,2,0
35,Female,Postgraduate,28663,3.8,Twitter,1,5,7,7,8,1,6,0
57,Female,Graduate,48047,5.4,Facebook,1,11,6,6,5,6,14,0
18,Male,Graduate,26522,2.9,YouTube,1,5,5,9,5,5,4,0
28,Female,High School,40422,3.8,Twitter,0,9,4,5,10,6,7,1
45,Female,Graduate,39863,4.0,YouTube,1,5,4,4,3,8,14,0
42,Male,Graduate,56288,3.8,Twitter,1,8,7,3,8,5,11,0
40,Male,High School,47120,4.4,Facebook,1,10,6,10,6,2,7,0
48,Female,Graduate,39624,1.8,Instagram,1,9,3,1,2,2,6,0
47,Female,Graduate,52266,3.3,Facebook,1,11,4,3,2,10,5,0
59,Female,High School,60853,1.1,Instagram,1,10,4,3,9,5,1,0
52,Female,High School,48367,2.6,Instagram,1,8,4,7,7,3,5,0
24,Male,Graduate,40155,3.2,YouTube,0,5,7,7,10,10,12,1
33,Male,High School,20322,4.1,Facebook,1,10,6,1,9,3,11,0
43,Female,Postgraduate,24023,5.7,Twitter,1,10,7,3,6,8,14,1
19,Male,Graduate,35421,3.8,Facebook,1,7,3,8,5,7,10,0
18,Male,Graduate,30857,4.6,YouTube,1,11,5,9,1,1,8,0
29,Male,Graduate,37195,3.3,Instagram,1,4,5,7,6,5,14,0
22,Male,Postgraduate,40849,4.0,YouTube,0,6,4,7,6,9,1,0
54,Male,Graduate,47945,0.9,TikTok,1,13,5,8,3,4,0,0
49,Male,Graduate,38942,1.9,TikTok,1,6,2,6,3,1,10,0
26,Male,Graduate,47297,2.5,Twitter,1,8,6,3,3,8,12,0
58,Male,High School,40967,3.1,YouTube,0,11,2,1,3,5,4,0
52,Female,Postgraduate,10368,0.8,Twitter,0,11,3,7,7,2,10,0
36,Female,Graduate,25909,1.3,Twitter,0,6,3,1,10,1,5,0
33,Female,Graduate,37838,2.0,TikTok,1,7,5,1,2,3,2,0
20,Female,Postgraduate,21854,5.8,Twitter,0,9,0,9,10,9,7,0
37,Female,Postgraduate,48998,2.3,TikTok,1,10,9,10,10,1,6,1
41,Male,Graduate,62961,3.2,Instagram,1,12,4,7,2,4,1,0
50,Female,Postgraduate,58281,1.6,YouTube,0,10,2,4,3,8,11,0
41,Female,Graduate,36798,3.9,Twitter,1,13,5,6,10,8,6,1
28,Female,Graduate,62360,2.0,TikTok,1,13,3,1,7,10,14,1
25,Male,Graduate,42230,1.6,Facebook,1,6,2,7,3,8,14,0
53,Male,Graduate,34943,3.3,Twitter,1,9,5,6,7,10,0,1
55,Male,High School,30798,0.5,Instagram,1,14,5,4,9,8,8,1
57,Male,Postgraduate,35462,0.5,Instagram,1,11,3,7,10,4,12,0
37,Female,Postgraduate,34177,1.7,Facebook,1,11,4,3,4,8,6,0
52,Female,High School,42556,0.7,TikTok,1,13,2,1,7,9,5,1
42,Male,Postgraduate,42408,1.1,Twitter,0,16,9,4,9,7,12,1
52,Other,High School,40045,2.4,TikTok,1,6,13,3,8,2,1,1
42,Female,Graduate,46554,4.9,Instagram,1,6,4,1,8,9,2,0
46,Male,Graduate,57859,3.6,TikTok,1,10,3,2,9,8,0,1
35,Male,High School,54243,3.3,Instagram,0,11,9,5,5,5,14,1
35,Male,Postgraduate,17726,2.1,TikTok,1,8,2,8,5,3,9,0
19,Male,Postgraduate,1691,5.6,Facebook,0,10,4,1,3,7,12,0
52,Male,Graduate,54014,2.7,YouTube,1,15,7,4,5,2,4,1
33,Male,High School,19496,1.0,Facebook,1,13,3,4,8,3,8,0
58,Male,High School,36628,3.9,Facebook,0,7,4,5,5,9,12,0
53,Male,Graduate,22448,1.1,YouTube,1,10,7,7,4,4,5,0
50,Female,Postgraduate,12970,2.4,YouTube,1,5,3,8,8,4,4,0
21,Male,Graduate,48121,3.3,Twitter,1,5,8,6,7,3,11,0
50,Female,High School,51387,5.3,Twitter,0,15,6,1,6,5,2,1
31,Male,Graduate,31352,3.2,Facebook,0,8,6,7,5,3,4,0
38,Other,Graduate,1134,4.4,Facebook,0,8,8,3,5,9,7,1
37,Male,Graduate,31806,6.0,Instagram,0,14,3,6,10,3,11,1
25,Male,High School,45877,1.2,Instagram,1,12,6,8,2,2,1,0
24,Other,Graduate,17816,2.0,Twitter,0,12,5,7,4,5,4,0
20,Female,Graduate,42750,2.7,Twitter,1,5,8,10,8,6,5,0
34,Female,Postgraduate,39770,2.8,Instagram,0,5,10,6,8,1,9,0
50,Male,Graduate,48689,2.8,Instagram,1,8,2,9,1,6,7,0
29,Male,Graduate,41793,5.5,TikTok,1,13,4,9,2,10,7,1
39,Female,Postgraduate,25403,4.4,TikTok,1,7,6,1,5,3,14,0
39,Other,High School,57948,3.8,Instagram,0,10,4,1,9,4,4,0
47,Female,Postgraduate,37622,2.2,TikTok,1,8,6,1,10,6,8,1
55,Female,Graduate,39590,5.0,YouTube,1,13,4,8,7,8,3,1
55,Male,High School,26000,5.8,Twitter,0,10,7,10,10,9,11,1
25,Female,Graduate,33350,5.0,Twitter,0,3,5,7,5,6,8,0
44,Male,Graduate,26727,0.5,Instagram,1,16,1,3,1,7,10,0
44,Male,High School,37405,4.0,Facebook,1,8,4,2,6,5,6,0
51,Male,Graduate,65675,0.8,Instagram,1,11,12,4,8,9,5,1
38,Female,Graduate,19421,1.9,TikTok,0,10,10,3,7,4,3,1
47,Male,Graduate,15796,0.8,Facebook,1,15,4,7,2,10,1,1
50,Male,High School,62067,3.8,TikTok,1,10,3,10,5,6,7,0
45,Female,Postgraduate,36860,4.3,YouTube,1,14,6,8,4,5,5,1
50,Male,Postgraduate,29963,1.1,TikTok,1,16,6,6,9,1,11,1
22,Female,Postgraduate,55598,2.6,YouTube,1,8,5,3,10,5,14,0
36,Male,Graduate,30915,3.0,YouTube,1,10,2,6,1,5,2,0
21,Female,High School,67390,2.5,TikTok,0,8,9,2,6,9,6,1
52,Female,Graduate,50168,1.2,TikTok,1,8,6,7,3,1,9,0
34,Male,High School,32681,2.8,YouTube,0,10,4,10,9,5,6,0
45,Male,High School,72359,4.6,Facebook,1,6,6,7,5,7,5,0
47,Male,Graduate,30914,0.9,YouTube,1,10,8,4,6,6,1,1
46,Male,Graduate,51131,0.9,Twitter,1,14,2,8,9,6,7,1
23,Other,Graduate,44489,2.5,YouTube,0,25,2,4,9,7,0,1
52,Male,Graduate,59526,5.7,Facebook,1,11,6,7,8,6,12,1
58,Female,Graduate,63422,4.2,Twitter,1,10,6,4,9,5,0,1
54,Male,High School,40480,4.2,Instagram,0,9,4,5,4,10,5,0
41,Female,Postgraduate,28698,2.5,Instagram,0,12,9,7,6,5,4,1
46,Female,Graduate,46899,3.8,Facebook,0,7,3,10,5,9,8,0
48,Female,Graduate,29834,0.6,YouTube,0,8,5,3,5,8,12,0
52,Female,High School,70200,4.0,TikTok,0,8,8,10,4,10,11,1
50,Male,Graduate,42048,5.5,Facebook,0,12,5,5,2,4,6,0
38,Male,Graduate,34520,3.9,Twitter,0,11,5,3,6,4,1,0
49,Other,High School,42770,5.3,Twitter,1,7,7,5,9,10,12,1
40,Female,High School,19793,4.5,Instagram,1,9,4,3,1,5,11,0
50,Other,Graduate,25425,1.2,Twitter,1,5,6,10,7,3,6,0
20,Male,Graduate,58006,5.5,Facebook,1,8,5,7,6,8,14,0
35,Female,High School,30146,0.9,Twitter,1,12,6,1,3,7,2,0
42,Other,Postgraduate,24296,3.4,Facebook,1,6,5,9,1,5,0,0
59,Male,High School,48049,1.3,TikTok,1,14,5,9,4,10,10,1
48,Male,Graduate,57785,0.6,Instagram,1,14,4,5,9,3,7,1
20,Female,Postgraduate,50784,2.8,Twitter,1,11,4,9,2,5,13,0
57,Female,Graduate,54940,2.1,Facebook,0,8,5,10,3,3,11,0
41,Female,Graduate,28648,3.2,YouTube,0,10,3,6,2,10,2,0
49,Male,Graduate,18672,3.7,Instagram,1,8,5,5,2,5,10,0
39,Female,High School,62520,0.7,TikTok,1,15,7,3,10,1,7,1
40,Male,Postgraduate,35159,1.2,Facebook,0,8,3,8,8,6,6,0
19,Male,Graduate,36237,3.6,TikTok,1,12,0,4,3,10,11,0
44,Male,Postgraduate,59922,2.4,TikTok,1,9,5,10,7,4,14,0
59,Female,High School,48343,4.5,Twitter,1,13,4,3,8,4,1,1
19,Female,High School,46838,4.1,Twitter,1,11,1,6,3,8,12,0
43,Female,High School,72475,5.2,Facebook,1,14,5,8,2,2,13,0
34,Male,Graduate,30347,4.3,YouTube,1,7,5,9,8,4,13,0
57,Female,Graduate,53917,2.9,Facebook,1,8,3,6,3,2,0,0
50,Male,Postgraduate,40855,4.2,YouTube,0,6,1,5,7,1,6,0
26,Female,Graduate,44028,2.0,TikTok,1,10,5,2,1,10,12,0
56,Male,Postgraduate,62927,2.2,Instagram,1,7,11,2,6,3,0,0
46,Male,High School,47617,4.8,Facebook,1,7,5,9,9,8,5,1
59,Female,Postgraduate,48074,3.0,Facebook,1,10,5,2,3,6,12,0
43,Male,Graduate,56087,4.9,YouTube,1,10,7,2,7,7,10,1
52,Female,Graduate,34525,5.0,TikTok,1,14,4,3,6,2,9,0
42,Female,Postgraduate,27411,5.2,TikTok,1,9,1,3,8,6,10,0
41,Male,Graduate,24327,5.5,YouTube,1,10,5,4,3,8,9,0
30,Female,Graduate,10504,2.9,TikTok,1,13,7,7,3,8,7,1
24,Male,High School,70843,2.3,Twitter,1,14,3,9,4,4,6,0
53,Female,High School,23451,3.7,Instagram,0,9,3,2,3,6,3,0
37,Other,Postgraduate,36681,2.5,Facebook,1,12,9,4,9,5,0,1
18,Female,Graduate,35847,3.8,Instagram,1,11,1,9,4,9,0,0
25,Male,Graduate,44611,4.4,Facebook,1,14,6,2,6,8,3,1
33,Other,Graduate,52236,4.3,Twitter,1,7,6,10,8,2,4,0
31,Female,High School,52907,2.6,TikTok,1,10,5,1,8,7,11,1
29,Male,High School,31253,1.4,YouTube,1,7,4,10,5,7,6,0
40,Male,Graduate,37493,2.9,Twitter,1,15,7,8,5,1,13,0
32,Female,Graduate,44238,1.3,Instagram,0,10,7,9,6,1,3,0
45,Female,High School,36269,5.4,YouTube,0,8,6,7,10,4,9,0
51,Female,Graduate,64110,2.4,TikTok,0,9,5,8,7,5,13,0
19,Female,High School,47364,1.3,Twitter,1,12,3,4,10,4,11,1
49,Female,Graduate,51023,0.6,YouTube,1,4,5,4,7,7,0,0
