user_id,user_activity_level,session_count,avg_session_duration,buyer_region_code,product_id,category_code,price,discount_rate,product_rating,review_count,dwell_time,click_count,scroll_depth,add_to_cart,wishlist_flag,interaction_frequency,recency_score,seasonal_index,quantity_sold
4385,9,39,605.6823455687717,1,633,4,370.3,0.55,3.7,3017,1188,11,0.88,1,0,10,0.95,0.91,23
5117,3,13,220.63967626359675,1,343,2,908.14,0.55,2.9,4147,636,9,0.63,0,0,84,0.39,1.03,36
5843,7,17,128.17357284975063,1,488,6,308.11,0.2,2.9,1573,216,21,0.29,0,0,80,0.96,0.96,16
3904,1,32,548.8975405243242,1,213,1,545.5,0.42,2.8,2536,1023,4,0.18,0,1,6,0.28,1.13,4
1474,4,9,451.6798797345875,1,456,2,25.37,0.41,3.6,3926,90,2,0.73,1,0,81,0.06,0.86,8
2082,4,40,53.374859019093705,1,1430,3,524.27,0.48,3.8,2052,624,9,0.75,1,0,6,0.77,0.97,36
3558,7,20,361.0192403789412,1,1057,7,638.76,0.18,2.8,3796,492,22,0.26,1,1,86,0.84,1.24,10
3047,8,26,122.32925937716608,1,1142,4,238.13,0.31,4.9,631,601,5,0.13,1,1,82,0.49,1.15,30
3747,1,27,492.28044362484485,1,1395,4,581.04,0.4,3.1,1861,1136,4,0.47,1,1,96,0.07,0.8,36
1975,5,21,374.32658130457474,1,663,4,648.93,0.02,3.6,3952,42,23,0.62,1,1,28,0.65,1.23,16
2806,7,18,563.4421626596256,1,469,3,688.45,0.23,3.0,1232,44,5,0.74,1,0,42,0.18,1.05,30
1189,4,13,730.8739303301073,1,1444,1,777.52,0.42,3.7,2264,1009,24,0.83,1,1,74,0.85,1.11,10
3734,4,16,290.711754942097,1,1375,4,314.78,0.15,4.4,2047,1083,24,0.65,1,1,41,0.27,0.88,11
4005,4,9,867.028830623574,1,822,1,569.94,0.57,3.8,535,289,18,0.2,0,1,63,0.85,0.96,34
5658,6,12,496.00201551118977,1,1406,2,981.67,0.02,3.2,3533,161,13,0.71,1,0,22,0.43,1.18,16
2899,7,44,567.9129949166655,1,271,6,898.65,0.57,3.1,4825,710,5,0.99,1,0,92,0.6,0.9,19
2267,2,38,622.1849647063913,1,273,6,952.9,0.13,4.4,3097,744,24,0.92,0,0,79,0.79,0.8,4
2528,5,19,610.0564309761031,1,554,1,389.21,0.03,2.8,1275,1028,19,0.88,0,0,29,0.04,0.93,31
4202,4,7,474.544546449204,1,696,1,787.99,0.18,3.4,3073,674,23,0.37,1,0,71,0.82,0.74,35
4556,3,35,403.02493326977464,1,1187,6,621.8,0.47,2.9,1025,932,3,0.78,0,1,34,0.14,1.13,34
4890,7,48,76.79030883431878,1,779,4,87.32,0.45,3.1,2051,462,22,0.87,0,1,96,0.36,0.79,26
1646,6,18,49.21468541202637,1,1109,5,824.86,0.13,2.9,3621,629,18,0.71,1,1,2,0.47,0.87,39
3888,7,16,341.4262392435052,1,572,5,678.72,0.12,4.7,4563,1066,6,0.33,1,0,26,0.9,1.23,6
3435,5,39,320.2849748513126,1,561,3,202.92,0.39,4.3,200,1144,6,0.96,0,1,75,0.02,1.02,33
1600,6,4,367.29478470993587,1,292,7,84.34,0.27,3.9,4403,1154,24,0.51,1,0,89,0.56,0.89,27
3363,5,25,150.38033477272532,1,523,6,837.84,0.48,3.1,3323,25,5,0.22,0,0,19,0.64,1.03,12
3061,7,32,672.2063953670539,1,583,6,83.51,0.01,3.8,3358,748,1,0.2,1,1,20,0.32,0.83,8
1241,2,40,775.5590408553279,1,774,3,95.9,0.37,3.8,2971,724,8,0.68,1,1,33,0.29,0.72,9
3041,5,13,846.6817327754104,1,935,5,430.27,0.44,4.0,4978,723,1,0.49,0,1,81,0.49,1.06,1
3824,6,45,458.3552040620745,1,936,2,139.12,0.6,2.7,585,107,21,0.19,0,1,94,0.19,1.13,5
3612,6,17,639.7531582391229,1,545,4,914.1,0.41,4.9,3345,125,6,0.77,0,0,82,0.47,1.23,7
2363,5,49,774.329477389209,1,1326,4,472.93,0.14,3.7,3854,974,20,0.82,0,0,96,0.77,1.16,18
2478,7,37,393.9132666513328,1,1438,2,571.31,0.06,4.8,4604,358,14,0.75,0,0,4,0.85,1.26,24
3556,8,6,299.1891315372866,1,1415,2,928.47,0.38,2.5,3424,241,11,0.28,1,1,32,0.39,1.29,26
1775,7,19,844.9503635925364,1,918,5,532.61,0.31,3.1,4100,1144,2,0.72,1,0,19,0.62,1.15,10
5014,5,13,478.6385994370536,1,980,3,356.82,0.54,2.8,359,1045,21,0.11,0,1,3,0.0,1.22,12
1034,1,26,462.61088133406383,1,1219,2,798.17,0.44,4.4,3669,993,4,0.37,0,0,92,0.55,1.1,22
4152,5,14,185.22200401024133,1,1417,3,445.64,0.31,3.3,4309,648,13,0.46,0,1,61,0.98,0.8,27
2955,2,31,124.09486267882036,1,863,7,321.88,0.24,4.6,3477,294,7,0.85,1,0,38,0.31,0.81,3
2585,5,4,762.6329703606551,1,799,1,724.61,0.24,4.6,4658,645,6,0.45,1,1,6,0.59,0.77,18
4943,5,39,564.2958632831408,1,210,4,802.6,0.14,4.2,2812,554,3,0.11,0,1,56,0.76,1.27,5
4073,2,8,313.4673880969204,1,386,5,792.76,0.01,4.2,44,401,9,0.42,1,0,40,0.61,1.1,14
2021,5,25,196.81050912953182,1,925,4,977.79,0.34,4.3,2750,86,14,0.55,1,1,81,0.42,1.17,25
4461,4,13,513.2826337475793,1,1238,5,787.73,0.13,4.2,633,306,20,0.95,0,0,69,0.15,0.9,31
3613,1,32,538.0097816571878,1,977,1,771.08,0.12,3.5,1210,339,11,0.95,0,1,83,0.46,0.98,21
4843,3,38,210.0844330832006,1,610,4,858.2,0.08,4.2,1749,1096,5,0.26,1,0,42,0.29,0.72,38
2500,1,38,770.7230006655823,1,1155,1,5.18,0.11,4.7,3241,279,14,0.27,1,1,99,0.7,1.23,20
5798,5,28,103.30999855559045,1,784,5,365.62,0.02,3.3,2768,225,19,0.25,1,0,86,0.44,1.21,14
1161,4,30,339.8009840947869,1,1275,2,738.92,0.4,4.9,593,1108,8,0.81,1,0,88,0.85,1.17,20
5297,7,3,621.9344399733942,1,1251,7,601.72,0.24,2.5,1424,519,7,0.11,1,0,74,0.19,0.73,37
2981,5,28,268.4847165227046,1,776,4,181.68,0.34,3.4,1926,588,7,0.21,0,0,2,0.42,0.8,30
1995,4,3,750.0774194597064,1,1240,1,307.21,0.38,2.8,856,1126,24,0.58,1,1,28,0.56,0.9,20
5911,2,45,673.6850091423511,1,1452,6,340.11,0.58,2.8,551,1086,23,0.32,0,1,17,0.13,0.86,7
4342,4,34,716.4498747568767,1,1188,4,569.99,0.04,4.5,4138,505,3,0.18,0,0,70,0.59,1.2,5
5551,2,16,133.62268621274313,1,1433,4,832.44,0.25,4.8,2888,957,3,0.42,1,0,69,0.29,0.82,31
4798,8,22,152.27600135612232,1,942,4,932.83,0.15,4.4,4274,103,18,0.35,0,1,39,0.23,1.02,29
2275,3,32,279.23215183778774,1,1327,3,751.34,0.29,4.9,1480,634,13,0.56,1,0,7,0.14,1.04,15
2016,9,38,480.72713372187815,1,403,1,843.74,0.55,3.0,606,238,1,0.98,0,0,32,0.35,0.96,25
1337,4,8,680.77398672848,1,1276,1,472.75,0.43,2.9,671,259,5,0.21,1,0,4,0.93,0.84,13
1878,6,8,757.781874961986,1,1173,4,392.83,0.4,3.8,3315,730,4,0.44,0,1,21,0.03,1.28,24
2076,5,6,642.771724882747,1,1139,2,395.74,0.26,4.6,16,989,16,0.94,1,0,32,0.85,0.95,15
5887,1,14,837.8792869316553,1,1277,4,617.96,0.4,2.6,2873,191,15,0.89,1,1,82,0.4,1.14,24
4993,9,32,672.7068533658594,1,1499,3,128.62,0.02,5.0,2594,276,18,0.45,0,1,97,0.56,0.81,26
5859,1,35,296.4530616940148,1,1254,5,581.6,0.35,4.0,2484,1013,17,0.73,0,1,14,0.51,1.19,19
1379,8,10,260.6207173745581,1,1358,3,666.81,0.33,4.9,615,290,14,0.18,0,0,70,0.93,0.83,24
1492,9,3,635.6874317619482,1,1281,2,441.71,0.21,3.4,3205,971,14,0.74,1,0,75,0.77,1.11,19
3062,9,12,197.79739475996442,1,304,4,953.4,0.12,3.6,2849,676,19,0.98,0,0,46,0.98,1.0,17
4884,1,49,110.66188540493481,1,1489,1,610.17,0.48,4.4,4407,1116,6,0.58,0,1,20,0.79,0.79,5
1064,2,31,493.0339011248887,1,452,7,223.9,0.03,4.5,3807,540,13,0.55,1,0,93,0.3,0.71,4
3568,1,29,744.8281657076911,1,494,6,481.82,0.04,3.1,2072,432,18,0.27,1,0,58,0.96,1.26,22
3027,2,5,118.20046294878128,1,867,4,677.03,0.26,4.8,524,990,15,0.67,0,1,99,0.98,0.78,10
3695,8,25,718.9454517022845,1,1381,2,327.01,0.15,4.7,3173,463,23,0.63,0,1,80,0.12,1.12,21
2495,5,41,736.0676437858468,1,748,1,84.24,0.45,2.5,1473,276,7,0.69,1,1,48,0.9,1.09,25
1391,7,31,449.5783800709429,1,830,3,585.52,0.38,2.8,2425,516,19,0.12,1,0,7,0.66,0.91,6
5514,2,21,79.85996970912353,1,1290,5,948.13,0.46,3.7,4983,1175,17,0.59,1,0,40,0.92,0.81,30
5474,8,20,181.89317058505216,1,498,5,487.65,0.19,3.7,3274,325,9,0.64,0,0,59,0.92,0.81,29
4561,6,39,645.4608593908812,1,300,7,906.58,0.44,4.3,3338,773,11,0.29,0,1,36,0.89,1.05,11
3278,8,22,649.246812142126,1,1279,4,835.85,0.52,2.7,2007,907,5,0.29,1,0,44,0.89,1.03,11
4099,1,4,811.5690893958688,1,531,3,151.68,0.21,4.1,4557,962,2,0.35,1,1,31,0.12,1.23,27
1200,1,13,536.9369475024871,1,1035,7,709.63,0.2,4.0,2412,884,15,0.74,1,0,42,0.14,1.08,19
5875,7,45,137.97340991098633,1,592,6,438.29,0.54,3.1,2151,925,24,0.65,0,0,44,0.12,1.19,22
4104,8,42,135.63096778932578,1,1073,6,254.0,0.03,3.9,3182,31,12,0.86,0,0,43,0.09,0.72,28
5598,3,49,657.3851509004367,1,580,7,688.5,0.21,3.1,427,393,10,0.37,0,0,43,0.35,1.1,4
3454,5,20,189.892658643874,1,291,2,743.95,0.07,2.9,4564,1159,10,0.92,0,0,47,0.68,0.84,37
4645,1,13,315.69538466644667,1,646,5,184.0,0.02,3.9,1014,112,20,0.77,1,1,6,0.35,0.85,19
1804,7,17,453.8744460220651,1,308,3,914.87,0.07,4.9,1604,909,11,0.46,1,1,93,0.72,1.13,17
3731,5,36,51.54544349125155,1,516,4,752.39,0.26,3.1,869,742,10,0.19,0,0,91,0.82,1.18,36
3773,8,33,246.4725535073407,1,1391,1,933.71,0.41,3.4,2727,119,7,0.33,1,0,66,0.67,0.92,23
2570,8,1,384.86395940133366,1,641,4,320.49,0.17,3.1,2852,1098,14,0.96,1,1,86,0.47,1.17,28
3690,9,15,273.2835970890894,1,417,4,939.64,0.51,3.2,885,679,13,0.38,0,0,9,0.3,0.97,11
4840,7,13,148.64218489678228,1,1445,3,371.68,0.26,3.5,2608,1109,5,0.4,1,1,11,0.12,1.21,14
2028,1,17,663.3706642826917,1,872,5,58.7,0.58,4.3,1273,1052,19,0.27,0,0,80,0.49,0.71,13
1502,3,24,737.4384599961469,1,477,3,764.15,0.57,2.6,4426,393,10,0.83,0,0,77,0.72,0.75,24
5493,8,8,254.0067092450406,1,1208,1,704.99,0.46,4.9,1955,199,8,0.35,0,1,18,0.55,1.17,16
1870,3,27,703.7449603074839,1,768,7,599.92,0.56,2.6,586,771,18,0.4,1,1,25,0.72,1.07,28
5488,8,45,365.43160102914305,1,1209,3,492.44,0.42,4.7,200,369,1,0.47,0,0,97,0.34,1.04,30
1206,1,23,470.81663804298245,1,1074,2,37.0,0.54,4.7,4549,884,5,0.49,1,1,74,0.07,1.07,39
2484,5,46,774.720935157043,1,665,4,626.47,0.14,3.8,3617,895,11,0.47,1,1,58,0.77,1.26,27
1863,4,8,682.4597031680948,1,1038,5,419.75,0.21,2.8,825,88,20,0.55,0,0,30,0.22,1.09,17
3790,5,8,730.4516606450746,1,953,6,562.41,0.45,3.9,110,605,11,0.83,0,0,1,0.62,1.09,26
1563,8,26,149.05529493013043,1,1037,1,432.17,0.25,4.1,2911,895,16,0.84,0,0,63,0.8,1.16,7
5191,4,47,90.65590047534465,1,229,6,966.23,0.5,4.6,3899,1024,10,0.82,0,0,97,0.14,1.22,35
2757,4,13,807.2621143065487,1,558,4,606.09,0.53,3.9,907,158,15,0.19,0,1,79,0.6,0.86,15
2678,3,39,367.4158145268521,1,285,3,750.49,0.18,3.5,3715,19,7,0.82,1,0,29,0.69,1.07,16
4242,7,37,280.45531992062234,1,1457,6,936.67,0.49,4.6,3689,801,15,0.21,1,0,66,0.75,1.05,21
5636,3,49,660.4857412077873,1,946,2,593.64,0.09,5.0,554,1088,16,0.21,1,1,75,0.15,0.78,17
2059,3,28,757.6815690244753,1,512,3,17.0,0.2,4.1,1903,881,6,0.95,0,1,53,0.83,1.01,26
2722,5,25,780.3659710515218,1,564,4,39.12,0.31,4.7,106,189,11,0.84,0,0,98,0.09,0.74,35
4314,5,16,304.9175127789478,1,1104,6,703.83,0.14,4.0,3336,753,17,0.6,1,0,19,0.52,0.81,20
4157,6,2,771.4247803454564,1,1492,7,282.69,0.35,4.2,2534,390,15,0.89,0,1,66,0.44,1.25,20
3625,8,18,65.61253160568049,1,897,1,581.48,0.35,4.2,2226,460,16,0.99,1,0,84,0.22,0.77,23
3729,6,17,73.20549756995541,1,330,6,206.27,0.12,4.3,3293,1126,24,0.65,1,1,52,0.3,1.05,5
2597,1,30,572.4616998015143,1,1002,7,273.9,0.48,3.3,1393,403,2,0.65,1,1,31,0.16,0.89,9
4060,8,39,84.90254113052522,1,988,7,507.12,0.38,3.9,2684,974,4,0.78,0,1,60,0.43,1.03,23
3693,8,13,312.4099766038405,1,550,6,975.69,0.19,4.0,2835,442,19,0.31,0,0,68,0.04,0.84,18
5891,9,32,615.2977080348239,1,379,5,618.19,0.14,3.3,166,963,6,0.25,1,0,93,0.89,0.97,29
4627,9,29,323.4221995671769,1,1386,6,936.47,0.53,3.4,2710,1196,18,0.78,0,1,30,0.16,1.22,11
2363,2,46,186.25180985288344,1,1319,4,959.58,0.5,4.4,3624,955,21,0.41,0,0,13,0.89,0.93,8
2981,2,30,274.7750410128422,1,973,7,212.07,0.14,4.0,2347,1073,11,0.22,0,1,15,0.86,0.91,27
2663,3,18,428.0905390578757,1,709,1,314.64,0.02,2.9,1404,775,9,0.38,1,0,20,0.45,0.97,2
2529,1,13,443.5856941592697,1,564,4,771.14,0.48,4.6,1525,917,3,0.42,1,0,34,0.5,0.76,23
3038,4,43,711.2102012720658,1,1180,2,867.43,0.37,4.7,4409,94,2,0.97,1,1,92,0.3,0.93,21
4302,4,21,682.6333096054159,1,552,3,521.63,0.06,3.7,4911,793,18,0.73,1,0,20,1.0,0.7,10
3237,9,30,427.43148996383763,1,999,6,993.26,0.35,3.0,4838,825,15,0.58,1,0,50,0.67,1.0,38
2306,9,21,765.7305937159311,1,1306,5,16.51,0.27,4.9,2774,1124,22,0.97,0,0,89,0.95,1.21,4
5029,9,48,129.38631057451437,1,1448,1,303.09,0.46,4.7,825,716,18,0.91,1,1,27,0.41,1.03,21
3675,7,17,252.15741469914428,1,611,5,625.05,0.13,3.1,1124,279,19,0.56,0,0,30,0.88,1.06,37
2282,2,40,750.3395232469588,1,934,5,471.94,0.27,2.7,568,850,15,0.92,1,1,56,0.45,0.72,12
1709,5,19,358.8548136047532,1,1180,5,121.02,0.09,3.6,1958,1052,17,0.46,0,0,84,0.87,1.22,14
5744,4,15,883.6279561506427,1,317,6,370.95,0.57,4.2,3739,1073,18,0.31,0,0,65,0.13,0.93,20
5413,8,9,435.6403549292168,1,681,1,30.32,0.47,2.9,2109,525,18,0.31,1,0,99,0.64,1.28,8
4748,2,10,718.9839919784747,1,391,1,644.53,0.44,3.8,4464,1066,11,0.7,0,1,55,0.68,0.77,27
5779,6,44,380.0071260026636,1,790,7,893.28,0.41,3.6,4189,459,18,0.55,0,1,24,0.66,1.27,37
1663,5,31,399.70956158431443,1,789,5,885.45,0.25,4.7,4094,694,23,0.69,0,1,25,0.45,1.08,21
2998,2,23,363.1083381372396,1,858,7,701.05,0.55,3.6,2930,634,3,0.72,0,0,53,0.68,0.73,35
4445,1,30,655.5957898444062,1,306,7,468.44,0.04,3.8,763,894,13,0.12,0,0,76,0.24,1.28,39
4743,8,33,506.3405591321952,1,581,3,514.47,0.48,4.9,3360,328,14,0.15,0,0,11,0.6,0.71,15
2495,2,9,851.0869568904811,1,982,6,141.23,0.13,3.2,3450,1157,4,0.58,1,1,94,0.55,1.14,12
4304,7,47,248.27457538467115,1,589,6,344.31,0.19,3.2,2147,497,18,0.27,0,0,60,0.32,1.23,34
4763,9,1,117.48957691259659,1,443,4,191.79,0.31,4.5,3395,460,5,0.67,1,0,77,0.78,0.81,8
2853,9,44,372.1374920363172,1,784,7,822.09,0.47,3.2,4424,362,14,0.6,0,1,47,0.08,0.91,37
5659,8,35,566.5400556526951,1,1068,6,915.18,0.5,4.6,3719,1149,12,0.63,0,0,25,0.17,1.04,30
2291,9,11,778.8950751164807,1,667,5,539.24,0.35,2.7,4801,964,7,0.37,0,1,25,0.47,1.11,3
4581,2,34,331.19129141188506,1,1065,2,729.13,0.24,2.8,220,1046,12,0.68,0,0,17,0.89,1.22,30
4457,6,16,598.7944734782816,1,1133,5,125.86,0.57,4.8,1861,329,8,0.85,0,0,12,0.58,1.16,29
2636,4,9,334.67285249020057,1,1433,1,610.49,0.15,3.9,2614,1198,21,1.0,0,0,52,0.84,0.92,1
4696,4,32,566.9810372051786,1,803,6,704.28,0.48,4.3,1021,94,21,0.85,0,0,11,0.52,1.19,16
3999,5,15,799.7829139166663,1,1214,6,455.5,0.37,3.1,109,257,3,0.6,0,0,10,0.79,1.28,31
4152,3,12,231.28114876568586,1,1296,4,247.06,0.23,2.9,4244,577,22,0.27,1,1,81,0.33,0.84,10
1698,1,33,381.6902286331241,1,1059,7,877.99,0.0,4.6,3848,693,1,0.71,1,0,60,0.82,0.74,30
3160,8,45,894.1407208938795,1,1409,2,744.19,0.27,3.4,698,653,3,0.94,1,0,54,0.4,0.96,26
5097,5,14,785.6446145770309,1,1476,6,900.36,0.17,3.6,107,488,11,0.29,1,1,80,0.56,1.23,12
5737,3,8,521.2366763696957,1,212,4,819.31,0.06,2.6,388,722,18,0.33,0,1,63,0.18,0.79,5
1854,7,8,479.46600491321954,1,498,4,990.42,0.05,3.5,424,377,7,0.23,0,1,20,0.92,1.23,9
4474,7,27,277.60233260507243,1,1299,2,196.21,0.21,4.4,2494,366,9,0.76,0,0,5,0.7,1.3,11
2707,1,12,479.9722020933706,1,1274,5,91.31,0.37,4.6,2965,417,4,0.47,1,1,41,0.86,0.73,23
3777,9,1,767.917903503554,1,986,5,340.32,0.5,4.2,2703,188,23,0.16,1,1,63,0.21,1.0,17
2733,2,43,626.1018265516691,1,348,5,133.36,0.11,4.2,1999,376,24,0.89,1,1,56,0.07,0.9,13
5931,5,40,282.33830451484835,1,321,3,525.51,0.25,3.8,3575,1069,10,0.6,0,1,32,0.34,0.94,17
4510,5,42,205.27361131657366,1,1434,7,634.86,0.24,3.8,1527,472,18,0.4,0,0,27,0.52,0.97,23
1202,8,11,260.73142718724137,1,737,7,580.4,0.31,4.4,4053,837,23,0.41,1,1,68,0.8,1.14,39
4255,8,39,177.69050521175907,1,1379,5,262.94,0.49,3.1,2026,1179,16,0.36,0,1,48,0.4,1.05,9
5218,7,43,113.20740554063288,1,1461,2,909.28,0.33,3.1,2368,155,12,0.51,0,0,7,0.27,1.28,18
5496,7,31,394.64847176458784,1,575,3,26.07,0.51,4.9,2766,389,19,0.4,0,0,46,0.37,0.9,18
1766,6,17,128.5706558264929,1,281,7,351.27,0.31,2.6,1855,177,24,0.59,1,1,78,0.7,1.02,30
5389,6,33,179.5639252225808,1,691,5,720.4,0.36,2.8,446,96,22,0.8,0,0,88,0.34,1.19,26
3327,9,32,506.1724753753529,1,555,3,768.09,0.26,3.9,1597,163,3,0.71,1,1,18,0.98,0.92,18
3931,6,29,173.20136811863,1,1124,2,419.04,0.49,4.3,209,506,8,0.37,1,0,38,0.17,0.98,21
1197,2,21,85.57539766488547,1,1496,5,21.83,0.55,3.8,848,324,19,0.58,0,0,65,0.75,1.11,33
2930,2,21,306.1282995242601,1,1267,1,619.95,0.38,3.4,1651,732,9,0.86,0,1,17,0.59,1.22,14
4582,5,40,221.67761580111176,1,1204,6,67.78,0.49,4.9,1916,773,19,0.16,0,0,90,0.23,0.95,10
1608,4,23,478.31551355510777,1,322,2,112.32,0.04,4.3,3529,271,17,0.17,1,0,86,0.75,1.02,28
4272,2,6,119.0593635873921,1,907,4,652.0,0.54,4.6,1918,496,13,0.6,1,1,82,0.45,1.29,14
2147,3,22,684.0405852841909,1,529,4,315.93,0.11,2.6,576,463,2,0.68,0,1,38,0.68,0.73,19
5282,7,38,818.4231619085706,1,1190,2,351.29,0.15,3.1,688,452,4,0.29,0,0,92,0.66,0.97,26
4397,8,37,676.7886013418891,1,522,4,489.37,0.03,3.4,789,552,11,0.77,1,0,85,0.11,1.08,10
3511,6,45,493.559522539213,1,1334,7,978.69,0.58,3.0,1355,1138,2,0.68,1,1,63,0.84,0.71,17
2794,5,8,778.7810049563301,1,969,2,965.62,0.51,2.7,1687,359,4,0.93,1,0,97,0.68,1.06,34
1659,1,41,634.5789904099115,1,1312,1,419.18,0.55,3.1,349,833,4,0.25,1,1,94,0.78,0.73,14
3811,8,49,39.17947653166517,1,632,2,269.17,0.51,3.8,2717,447,20,0.78,1,0,42,0.45,1.21,26
2369,3,35,372.8584329138177,1,909,5,306.08,0.29,4.2,3539,178,1,0.18,0,0,8,0.2,1.18,34
2986,6,11,770.328152483916,1,993,5,272.44,0.55,4.4,4521,32,11,0.61,1,1,30,0.33,0.72,19
1146,3,24,330.89720643848426,1,911,3,534.58,0.58,2.6,4422,997,23,0.6,1,1,64,0.9,0.73,24
4219,7,49,60.637200967205445,1,1322,4,608.83,0.3,3.6,1129,685,2,0.45,0,0,9,0.94,1.15,31
3911,7,21,679.1762855404769,1,738,6,491.34,0.11,2.8,4350,290,19,0.86,1,0,97,0.48,0.92,6
2734,9,2,727.7732951460956,1,800,4,410.95,0.4,3.6,4539,731,8,0.1,1,0,57,0.3,1.05,20
2843,5,40,169.71651468767845,1,1369,7,215.23,0.59,3.6,4208,262,23,0.57,0,0,59,0.73,0.86,39
1488,8,19,497.48623225356766,1,456,2,485.09,0.52,3.7,4784,413,20,0.3,1,1,93,0.77,0.8,34
3976,8,39,197.0012319262814,1,1412,6,344.4,0.52,4.7,990,142,4,0.77,0,0,95,0.82,0.88,22
2959,1,28,655.7339445684077,1,1463,6,543.89,0.56,4.5,1873,627,16,0.14,1,0,67,0.03,0.85,7
3385,5,17,266.24889600441253,1,1070,4,676.81,0.54,4.1,4141,241,15,0.85,1,1,75,0.01,0.97,33
3919,3,6,305.10715663009717,1,1098,6,635.15,0.47,4.7,4852,554,5,0.85,0,1,5,0.36,1.15,6
5736,1,19,765.1246426668882,1,1008,6,465.18,0.43,4.2,1376,88,5,0.85,1,1,95,0.15,1.03,16
2802,4,38,444.40044642000674,1,876,5,558.27,0.16,4.5,1226,1068,15,0.24,1,0,84,0.8,1.07,8
5061,8,28,612.6863725598756,1,470,1,288.43,0.37,3.9,563,504,23,0.67,0,1,4,0.53,0.98,23
4369,3,2,380.06455412854683,1,749,2,29.12,0.31,3.8,2887,1143,17,0.11,1,1,8,0.83,0.89,18
1262,2,38,289.26596575856723,1,1337,4,626.89,0.52,4.3,1340,337,3,0.86,1,0,42,0.18,0.79,14
1623,9,37,574.1659125694554,1,767,5,256.31,0.3,2.5,3737,976,18,0.75,1,1,35,0.63,0.91,36
2016,5,4,164.72608944857453,1,1185,7,670.61,0.08,4.2,1437,699,11,0.58,1,1,13,0.58,1.1,15
4643,7,22,354.5098569431708,1,558,7,748.27,0.0,4.8,94,393,6,0.76,1,0,5,0.34,1.14,5
5976,2,26,211.86222252575237,1,1392,3,916.35,0.41,4.3,3296,556,12,0.18,0,1,40,0.52,0.98,15
3049,9,49,635.3416212384486,1,997,6,958.33,0.33,2.6,948,401,22,0.58,1,0,19,0.59,1.09,11
4723,9,43,851.4616893611136,1,1484,6,15.47,0.2,3.4,4648,1135,17,0.36,1,1,82,0.89,0.83,2
5548,4,36,896.0945421738037,1,1086,4,990.42,0.1,4.5,2692,1118,14,0.98,0,1,97,0.06,1.22,23
4108,4,13,421.74082508418394,1,1422,1,684.6,0.28,4.9,4161,918,6,0.87,0,1,4,0.82,1.22,24
5090,6,32,249.70143898370668,1,410,1,645.31,0.06,3.4,3281,694,10,0.76,0,0,59,0.98,0.89,18
3056,6,17,415.261552234362,1,486,4,20.14,0.2,4.6,1497,550,16,0.94,0,1,18,0.73,1.03,4
4170,1,41,767.1243866675698,1,942,4,861.93,0.23,4.7,4760,306,18,0.41,1,1,24,0.74,1.06,15
2682,9,36,209.22494034027469,1,1246,5,149.76,0.28,2.8,2731,65,20,0.91,1,1,93,0.22,0.98,12
3255,2,46,858.3232169380436,1,1332,7,838.14,0.28,4.6,2743,1049,6,0.39,1,1,31,0.52,1.25,3
2154,5,19,327.4232188543914,1,495,4,20.48,0.15,3.3,4275,75,19,0.76,1,0,58,0.71,1.14,32
5499,9,35,887.6491837217652,1,205,7,647.73,0.51,4.0,2881,967,3,0.76,1,1,28,0.6,1.1,36
4191,4,46,759.5897321545472,1,749,3,437.63,0.21,3.8,201,1056,12,0.12,1,1,9,0.39,1.01,21
