记录编号,性别,社会比较倾向,相对剥夺感,经济不满意度,地位提升期望,当前社会阶层_1到10,逛街购物频率,上网频率
388,1,30,40.0,80,0.0,3,4,1
391,2,20,20.0,20,22.222222,6,2,1
393,1,50,73.333333,40,0.0,4,4,1
395,2,20,26.666667,20,22.222222,6,3,1
398,1,60,46.666667,40,22.222222,3,3,1
399,1,30,60.0,20,0.0,5,5,1
400,2,30,40.0,20,33.333333,3,3,2
402,2,50,60.0,40,22.222222,3,4,1
405,1,30,40.0,40,0.0,4,2,5
409,2,30,40.0,80,22.222222,6,3,1
412,2,30,40.0,20,11.111111,7,4,1
423,2,40,40.0,20,22.222222,7,4,3
424,1,50,66.666667,80,22.222222,4,5,5
425,2,40,46.666667,40,11.111111,5,3,1
432,1,60,53.333333,80,0.0,6,4,1
443,2,30,40.0,80,55.555556,5,2,1
444,1,80,100.0,60,11.111111,2,3,1
445,1,30,40.0,40,0.0,3,3,1
447,2,30,40.0,20,22.222222,5,2,1
455,2,30,40.0,20,0.0,7,3,1
460,1,30,60.0,20,0.0,6,4,1
464,2,60,80.0,20,0.0,1,3,5
486,2,30,40.0,40,22.222222,5,3,1
487,2,40,66.666667,20,0.0,3,2,5
490,1,60,33.333333,60,0.0,4,5,1
491,2,30,40.0,20,0.0,5,2,1
492,1,50,73.333333,20,0.0,7,3,1
495,2,60,80.0,40,0.0,5,5,2
499,2,30,40.0,20,33.333333,3,3,1
506,2,70,100.0,80,33.333333,5,1,5
511,2,60,93.333333,60,11.111111,4,5,1
512,1,70,80.0,60,0.0,8,3,1
519,1,40,46.666667,20,11.111111,5,4,1
523,2,40,53.333333,20,0.0,5,3,2
527,1,30,40.0,40,22.222222,4,3,1
536,1,40,60.0,20,22.222222,3,5,1
537,2,30,60.0,100,22.222222,1,3,1
548,2,60,60.0,80,22.222222,3,3,1
557,2,30,40.0,20,66.666667,4,2,2
562,2,90,80.0,100,0.0,1,5,2
566,1,30,46.666667,20,0.0,7,1,1
567,2,30,40.0,20,0.0,5,3,1
585,1,40,40.0,40,11.111111,5,5,4
597,2,30,40.0,60,33.333333,5,3,2
603,1,80,66.666667,100,0.0,2,5,5
607,2,60,80.0,20,0.0,3,5,1
619,1,90,86.666667,40,11.111111,1,5,1
626,2,30,60.0,40,11.111111,2,2,1
628,1,30,66.666667,20,22.222222,5,3,1
629,2,60,40.0,80,0.0,1,1,1
632,2,30,60.0,20,22.222222,3,3,5
633,1,60,53.333333,80,22.222222,1,5,1
642,1,50,53.333333,20,11.111111,6,4,1
648,1,30,40.0,40,0.0,5,2,5
652,2,30,40.0,20,33.333333,6,2,1
653,1,30,40.0,20,11.111111,5,5,1
654,2,50,53.333333,60,22.222222,4,4,1
655,2,40,40.0,20,0.0,7,5,1
658,2,90,86.666667,20,0.0,1,5,1
661,2,30,40.0,20,0.0,5,3,1
662,1,60,60.0,80,0.0,5,5,5
664,2,60,73.333333,60,11.111111,3,2,1
670,2,30,40.0,80,22.222222,3,3,1
672,1,40,66.666667,40,0.0,5,2,3
682,2,30,60.0,80,0.0,3,1,1
688,1,30,73.333333,20,11.111111,4,4,1
692,2,50,66.666667,20,11.111111,8,2,1
693,2,30,40.0,20,11.111111,6,3,1
694,2,60,86.666667,40,11.111111,4,4,1
699,2,40,80.0,40,11.111111,6,4,1
702,2,40,60.0,40,0.0,5,1,5
705,2,50,46.666667,40,11.111111,4,2,1
710,1,40,60.0,80,0.0,1,5,1
713,2,40,60.0,40,0.0,5,3,2
714,2,50,73.333333,40,22.222222,5,2,1
734,1,40,46.666667,60,55.555556,2,3,1
740,1,30,40.0,20,0.0,5,5,2
743,1,30,60.0,20,11.111111,4,4,5
747,1,30,40.0,40,0.0,8,5,5
755,2,30,40.0,20,22.222222,3,4,4
756,1,20,33.333333,20,0.0,7,3,1
760,1,30,66.666667,40,22.222222,1,4,1
762,1,30,40.0,80,0.0,3,4,1
768,1,60,100.0,20,0.0,6,4,1
769,2,50,66.666667,80,22.222222,1,5,5
770,2,30,80.0,20,11.111111,4,5,5
776,1,30,40.0,40,0.0,5,4,1
782,2,50,60.0,40,11.111111,3,4,1
783,2,60,100.0,20,0.0,5,3,1
785,2,60,80.0,60,0.0,8,4,2
794,2,60,73.333333,20,0.0,5,4,3
798,2,90,93.333333,80,22.222222,3,2,1
799,2,50,60.0,80,0.0,5,1,1
801,2,30,40.0,20,11.111111,8,3,2
803,2,60,80.0,100,33.333333,4,3,1
805,2,30,60.0,80,55.555556,4,4,1
807,2,80,86.666667,100,0.0,1,2,1
812,1,30,53.333333,20,11.111111,4,5,1
827,1,30,40.0,20,11.111111,5,3,1
829,2,60,73.333333,40,0.0,5,3,1
830,2,30,20.0,40,0.0,6,3,1
840,2,30,46.666667,80,11.111111,5,4,1
852,2,30,40.0,40,0.0,5,3,1
861,2,30,60.0,20,55.555556,5,3,1
872,2,30,66.666667,40,11.111111,5,4,2
876,2,30,46.666667,20,11.111111,7,2,5
878,2,60,100.0,20,33.333333,6,3,1
886,2,60,73.333333,80,11.111111,5,4,1
889,2,40,40.0,20,33.333333,3,4,1
890,2,60,93.333333,80,0.0,5,3,5
896,2,40,46.666667,60,0.0,6,2,1
898,1,30,40.0,20,22.222222,5,4,1
901,2,80,66.666667,80,0.0,2,3,1
903,1,30,60.0,20,22.222222,3,5,1
904,1,40,60.0,40,22.222222,6,3,1
906,1,40,80.0,40,0.0,3,2,5
912,1,80,53.333333,80,44.444444,5,4,1
916,2,30,40.0,20,33.333333,5,3,1
918,2,30,46.666667,20,100.0,1,2,1
920,2,30,53.333333,20,55.555556,5,2,1
923,1,60,80.0,20,33.333333,5,5,5
924,1,30,60.0,80,22.222222,4,5,1
930,1,40,66.666667,60,22.222222,6,2,1
933,1,30,40.0,60,0.0,5,2,2
940,1,60,73.333333,40,22.222222,2,4,1
954,2,30,40.0,80,22.222222,4,4,1
963,1,40,40.0,60,0.0,1,4,2
973,2,40,40.0,40,0.0,1,2,1
975,1,40,46.666667,40,0.0,7,2,1
986,1,20,40.0,20,11.111111,7,5,1
987,1,20,53.333333,80,11.111111,3,4,1
992,2,60,66.666667,40,33.333333,5,3,1
993,2,50,66.666667,20,0.0,2,2,1
1001,2,30,40.0,20,0.0,5,3,1
1003,2,50,60.0,20,0.0,5,3,1
1005,2,40,40.0,80,0.0,5,1,1
1006,2,70,53.333333,80,55.555556,5,2,1
1011,2,30,53.333333,20,0.0,10,3,5
1012,2,90,100.0,80,0.0,5,4,5
1013,1,30,80.0,100,22.222222,1,5,1
1027,2,30,40.0,80,0.0,1,4,1
1028,2,20,20.0,20,11.111111,9,1,1
1034,2,30,60.0,20,33.333333,6,4,1
1036,2,40,53.333333,40,0.0,5,2,2
1039,1,40,66.666667,40,0.0,4,5,5
1040,1,70,86.666667,80,22.222222,3,4,1
1048,2,30,80.0,80,44.444444,5,1,1
1063,1,30,40.0,20,0.0,7,3,1
1067,2,60,100.0,20,11.111111,3,1,2
1070,1,40,40.0,60,44.444444,1,5,5
1076,1,30,40.0,80,22.222222,3,5,1
1080,2,30,40.0,20,11.111111,5,3,1
1081,1,50,46.666667,40,22.222222,3,3,1
1098,1,50,73.333333,40,22.222222,4,4,1
1102,1,30,60.0,20,22.222222,5,3,1
1116,1,50,86.666667,20,11.111111,7,3,1
1126,2,50,73.333333,20,11.111111,1,4,1
1128,1,100,100.0,100,0.0,1,5,1
1129,2,30,53.333333,20,22.222222,6,2,1
1131,2,70,60.0,40,0.0,5,0,2
1134,2,70,100.0,80,0.0,2,4,1
1155,2,30,80.0,80,55.555556,5,4,1
1156,2,30,46.666667,20,0.0,5,5,1
1167,2,60,80.0,20,0.0,5,3,5
1178,2,40,60.0,20,0.0,5,3,2
1182,2,40,46.666667,40,22.222222,6,4,1
1207,1,40,60.0,20,11.111111,6,3,1
1222,2,30,40.0,20,11.111111,5,4,2
1230,2,30,33.333333,60,11.111111,2,3,2
1239,2,50,66.666667,40,0.0,1,4,1
1242,1,40,60.0,20,22.222222,5,3,1
1246,2,40,53.333333,80,11.111111,3,3,2
1248,2,40,46.666667,40,33.333333,4,2,1
1251,1,30,40.0,20,11.111111,5,2,1
1260,2,50,60.0,60,0.0,5,4,1
1269,2,30,60.0,20,11.111111,4,3,1
1285,2,30,46.666667,20,0.0,5,2,5
1300,2,50,66.666667,60,55.555556,1,3,1
1302,2,40,73.333333,20,0.0,5,4,1
1303,2,30,80.0,80,0.0,3,3,1
1304,1,30,80.0,20,0.0,5,5,1
1308,1,40,40.0,40,0.0,4,5,5
1310,1,60,100.0,20,0.0,1,4,5
1314,2,30,40.0,20,0.0,7,2,1
1316,1,100,73.333333,80,44.444444,2,3,1
1321,1,60,40.0,80,0.0,2,5,5
1326,2,50,60.0,60,0.0,6,4,2
1332,2,60,53.333333,80,11.111111,2,5,2
1335,1,50,53.333333,40,22.222222,3,4,1
1339,2,50,40.0,80,22.222222,4,3,1
1352,2,60,86.666667,20,11.111111,7,5,5
1355,2,80,80.0,60,0.0,6,2,1
1360,2,60,40.0,40,11.111111,6,5,1
1361,2,30,80.0,80,0.0,6,5,1
1362,2,30,40.0,20,0.0,8,5,1
1375,1,30,53.333333,20,22.222222,4,5,1
1378,2,30,46.666667,80,0.0,5,3,1
1381,2,60,86.666667,80,22.222222,5,4,1
1382,2,50,93.333333,40,33.333333,5,2,2
1383,1,30,60.0,20,33.333333,2,2,1
1385,1,60,60.0,20,22.222222,3,5,1
1397,1,60,80.0,60,22.222222,1,1,1
1400,2,30,40.0,20,44.444444,1,1,1
1401,1,30,40.0,20,22.222222,3,3,3
1408,1,40,40.0,80,0.0,4,3,1
1410,1,60,53.333333,40,0.0,6,4,1
1412,2,30,53.333333,80,22.222222,6,1,1
1415,2,60,80.0,80,0.0,2,5,1
1418,2,60,40.0,20,0.0,8,5,5
1433,1,40,53.333333,40,0.0,3,3,1
1438,1,30,40.0,20,0.0,5,3,1
1439,2,60,73.333333,80,33.333333,1,3,1
1442,2,40,40.0,40,22.222222,3,4,1
1447,1,60,86.666667,40,11.111111,5,1,5
1449,2,30,40.0,20,11.111111,5,5,3
1455,2,30,80.0,80,0.0,5,5,5
1457,1,80,73.333333,100,22.222222,3,2,1
1458,2,30,40.0,80,22.222222,4,3,1
1480,2,30,40.0,20,0.0,6,1,5
1504,2,30,40.0,20,0.0,6,4,1
1506,1,30,33.333333,20,11.111111,4,3,1
1512,1,30,46.666667,20,11.111111,4,2,1
1525,2,20,20.0,20,0.0,5,5,5
1530,2,80,66.666667,40,11.111111,5,4,4
1533,2,60,66.666667,40,0.0,7,2,1
1535,2,50,93.333333,20,0.0,5,5,1
1539,2,30,60.0,20,11.111111,6,3,1
1542,1,30,40.0,20,22.222222,5,3,1
1546,1,30,60.0,60,11.111111,1,4,1
1547,1,40,60.0,100,0.0,5,5,1
1549,1,60,40.0,100,0.0,1,5,1
1551,1,20,40.0,20,0.0,4,1,1
1554,2,70,80.0,80,0.0,5,4,2
1557,2,30,40.0,20,22.222222,4,4,1
1559,1,30,26.666667,20,0.0,1,3,1
1562,1,50,46.666667,20,0.0,6,3,1
1564,2,70,86.666667,80,11.111111,1,4,1
1575,2,30,40.0,20,22.222222,8,2,1
1578,1,50,60.0,80,11.111111,4,4,1
1588,1,30,40.0,20,0.0,3,4,1
1590,2,50,73.333333,20,0.0,4,5,1
1595,1,50,60.0,40,11.111111,6,3,1
1597,1,30,40.0,20,33.333333,5,2,1
1616,2,40,40.0,20,11.111111,6,3,1
1618,2,30,60.0,20,0.0,5,5,1
1619,1,30,60.0,20,11.111111,4,4,1
1631,2,20,26.666667,20,0.0,5,4,1
1634,1,60,100.0,80,11.111111,1,2,1
1636,1,30,60.0,20,0.0,5,2,4
1641,2,30,53.333333,20,0.0,5,4,1
1650,1,40,66.666667,20,22.222222,5,2,1
1654,1,20,53.333333,0,0.0,5,2,5
1659,1,50,53.333333,40,22.222222,6,4,5
1681,2,60,53.333333,80,0.0,5,3,1
1689,2,30,40.0,20,11.111111,5,2,1
1699,2,50,46.666667,40,11.111111,5,4,3
1711,2,50,86.666667,40,0.0,3,4,1
1712,2,30,60.0,80,0.0,1,1,5
1717,1,30,40.0,20,0.0,4,5,1
1718,1,50,60.0,40,0.0,3,5,1
1722,2,40,53.333333,20,11.111111,5,2,1
1723,1,20,20.0,20,0.0,5,4,1
1727,1,30,40.0,20,0.0,6,3,1
1758,1,50,46.666667,80,11.111111,4,4,1
1765,2,60,60.0,40,11.111111,4,4,4
1768,1,50,66.666667,60,11.111111,3,3,1
1769,1,40,46.666667,40,22.222222,4,3,2
1779,1,40,40.0,40,0.0,6,4,1
1780,1,30,53.333333,20,22.222222,6,3,1
1785,2,60,80.0,60,0.0,2,5,5
1789,1,30,40.0,60,0.0,3,3,5
1790,2,90,80.0,80,0.0,5,3,2
1797,2,30,66.666667,20,0.0,5,3,1
1805,1,30,60.0,80,0.0,3,4,1
1807,2,30,46.666667,80,0.0,4,1,2
1808,1,30,40.0,40,22.222222,1,4,1
1824,1,90,60.0,100,0.0,2,4,1
1825,1,30,60.0,80,0.0,4,4,1
1829,2,80,73.333333,60,44.444444,4,3,2
1832,2,20,40.0,40,0.0,5,4,1
1836,1,30,46.666667,60,0.0,4,5,1
1841,2,40,60.0,20,11.111111,6,4,1
1842,2,30,53.333333,20,11.111111,4,5,3
1844,2,40,53.333333,40,0.0,6,4,5
1845,2,60,46.666667,60,11.111111,5,4,2
1846,2,30,40.0,20,0.0,7,3,1
1848,1,30,60.0,20,0.0,5,5,1
1852,1,60,93.333333,20,0.0,1,3,1
1853,2,40,60.0,40,11.111111,5,4,1
1860,1,30,40.0,20,0.0,5,5,1
1872,2,60,80.0,80,0.0,4,5,2
1877,1,30,40.0,80,22.222222,3,3,1
1884,2,60,33.333333,60,11.111111,4,3,1
1889,1,30,53.333333,20,22.222222,4,3,2
1891,2,40,60.0,20,11.111111,3,5,1
1898,1,30,40.0,20,0.0,6,3,1
1901,1,90,100.0,80,100.0,1,4,1
1904,1,30,40.0,60,22.222222,5,3,1
1905,1,40,40.0,60,11.111111,6,4,1
1907,1,30,40.0,80,11.111111,3,4,1
1928,2,60,80.0,100,0.0,5,5,5
1939,2,50,80.0,40,22.222222,5,4,1
1950,1,40,46.666667,40,0.0,5,2,1
1951,2,60,80.0,60,11.111111,6,2,1
1957,2,40,73.333333,40,0.0,8,2,1
1963,2,30,40.0,20,22.222222,5,1,3
1967,1,30,40.0,40,22.222222,5,2,1
1968,1,20,46.666667,80,0.0,10,1,4
1971,2,40,40.0,80,0.0,5,2,1
1980,2,60,86.666667,20,0.0,5,4,5
1988,2,40,53.333333,20,0.0,2,4,5
1991,2,20,20.0,80,0.0,2,2,1
1992,2,30,53.333333,0,33.333333,5,2,1
1998,1,90,100.0,80,0.0,2,2,5
2007,1,50,60.0,20,22.222222,5,3,1
2009,1,40,33.333333,80,0.0,5,4,1
2012,2,30,60.0,60,11.111111,6,4,1
2013,2,50,66.666667,80,0.0,6,4,2
2018,2,30,20.0,60,0.0,6,5,1
2023,2,30,20.0,40,44.444444,5,5,1
2030,2,90,93.333333,80,0.0,5,5,5
2037,2,30,46.666667,60,22.222222,4,2,2
2043,1,50,53.333333,20,11.111111,5,4,1
2051,2,30,60.0,20,11.111111,8,4,4
2065,2,60,100.0,20,0.0,5,2,1
2066,2,30,40.0,20,11.111111,7,5,1
2075,2,40,53.333333,20,11.111111,4,2,1
2093,2,20,20.0,20,22.222222,5,4,5
2098,2,80,66.666667,80,0.0,1,5,1
2102,2,80,73.333333,80,0.0,3,2,1
2103,2,30,46.666667,60,22.222222,4,2,1
2109,1,30,60.0,20,0.0,6,3,1
2119,2,50,20.0,40,0.0,7,5,1
2125,2,30,60.0,20,22.222222,6,2,5
2127,2,40,40.0,40,22.222222,5,3,1
2133,1,40,66.666667,20,0.0,1,5,5
2142,2,80,66.666667,80,11.111111,2,2,2
2145,1,40,60.0,60,22.222222,8,2,1
2155,2,60,46.666667,40,22.222222,4,2,1
2156,2,80,73.333333,100,0.0,5,3,1
2161,2,60,46.666667,60,11.111111,5,3,1
2168,1,30,40.0,20,22.222222,5,2,1
2175,1,30,33.333333,20,22.222222,6,3,1
2178,1,20,60.0,20,11.111111,4,5,1
2201,2,60,60.0,80,22.222222,5,3,1
2220,2,40,53.333333,100,0.0,2,2,5
2230,2,30,46.666667,20,0.0,1,2,1
2232,2,30,46.666667,20,0.0,5,2,5
2239,2,80,93.333333,80,22.222222,4,3,1
2241,1,30,60.0,80,0.0,7,5,5
2242,2,50,66.666667,60,11.111111,5,3,1
2253,1,20,26.666667,80,11.111111,1,4,1
2254,1,30,60.0,20,0.0,1,1,1
2256,2,30,40.0,40,22.222222,4,3,1
2264,2,30,60.0,20,0.0,5,3,1
2272,2,20,26.666667,20,11.111111,5,1,1
2278,2,60,60.0,80,33.333333,3,3,5
2284,2,30,40.0,80,0.0,1,3,4
2285,2,30,73.333333,40,11.111111,5,1,3
2296,1,20,26.666667,80,0.0,3,4,1
2298,2,30,40.0,100,0.0,3,2,1
2302,2,40,40.0,40,11.111111,4,3,1
2313,1,90,60.0,100,0.0,5,3,1
2315,1,60,100.0,20,0.0,1,5,1
2328,2,30,60.0,20,33.333333,2,3,1
2337,1,60,73.333333,80,11.111111,2,5,1
2339,2,20,33.333333,20,11.111111,6,3,1
2341,1,50,66.666667,40,0.0,5,5,1
2342,2,40,46.666667,40,22.222222,3,5,1
2343,2,20,46.666667,20,11.111111,4,3,1
2347,2,80,86.666667,80,0.0,6,3,1
2354,2,40,66.666667,40,0.0,4,2,1
2365,2,30,53.333333,20,22.222222,5,3,1
2366,2,30,60.0,80,22.222222,3,3,1
2375,2,30,46.666667,20,0.0,3,3,1
2378,2,30,40.0,20,33.333333,5,2,2
2383,2,40,40.0,20,0.0,6,3,1
2405,1,20,20.0,20,44.444444,5,3,1
2406,2,40,40.0,80,33.333333,2,4,2
2409,1,40,46.666667,40,0.0,7,2,1
2411,2,40,53.333333,40,22.222222,4,3,1
2418,1,50,53.333333,80,22.222222,5,4,1
2426,1,60,100.0,20,0.0,7,5,4
2427,1,60,73.333333,20,0.0,5,3,1
2433,1,30,40.0,20,11.111111,7,4,1
2434,1,30,40.0,20,33.333333,4,3,1
2438,2,30,40.0,20,22.222222,5,2,1
2440,1,30,40.0,20,33.333333,5,3,1
2442,1,40,53.333333,20,33.333333,2,3,1
2445,2,40,60.0,40,11.111111,4,4,1
2446,2,40,40.0,40,11.111111,4,5,1
2451,2,50,53.333333,40,0.0,5,4,1
2457,2,50,80.0,60,0.0,5,2,2
2460,1,30,40.0,20,22.222222,6,2,1
2461,1,30,40.0,80,22.222222,6,4,2
2482,2,30,60.0,20,0.0,5,3,1
2491,1,20,33.333333,20,11.111111,5,4,1
2496,1,30,40.0,20,0.0,6,4,1
2497,1,30,40.0,20,33.333333,4,2,1
2500,2,30,40.0,20,0.0,5,3,1
2505,2,40,40.0,20,11.111111,8,3,1
2509,2,30,40.0,40,0.0,6,4,1
2528,2,30,80.0,80,55.555556,4,4,1
2535,2,40,53.333333,40,0.0,4,5,2
2537,1,30,60.0,20,22.222222,4,5,1
2543,2,60,100.0,20,0.0,1,3,1
2546,1,30,33.333333,100,44.444444,5,4,1
2547,2,60,60.0,80,11.111111,3,4,1
2551,1,30,26.666667,20,11.111111,7,3,5
2560,2,50,73.333333,40,33.333333,3,2,1
2564,1,50,40.0,20,0.0,3,4,1
2582,1,60,60.0,80,33.333333,5,4,2
2585,1,50,66.666667,60,22.222222,5,4,1
2596,2,30,53.333333,40,0.0,3,3,1
2601,1,30,40.0,20,11.111111,4,2,4
2607,1,40,53.333333,40,33.333333,4,4,1
2612,2,40,40.0,40,22.222222,5,3,1
2614,2,30,53.333333,20,33.333333,5,5,1
2627,2,60,80.0,80,66.666667,2,4,1
2628,2,30,40.0,20,22.222222,5,2,1
2631,2,30,60.0,20,0.0,6,1,3
2649,1,30,40.0,20,11.111111,6,5,2
2650,2,40,53.333333,40,0.0,4,3,1
2661,2,80,93.333333,80,0.0,5,3,1
2663,2,30,53.333333,20,0.0,5,4,2
2666,1,30,80.0,20,0.0,2,5,2
2677,2,30,60.0,20,0.0,4,4,3
2689,1,70,93.333333,80,0.0,1,4,3
2695,2,50,60.0,40,11.111111,6,4,1
2699,2,30,40.0,40,0.0,6,4,1
2702,2,30,40.0,40,0.0,4,4,1
2704,2,60,60.0,100,0.0,4,3,1
2710,2,60,100.0,100,0.0,6,2,1
2713,1,30,46.666667,40,22.222222,5,4,2
2714,1,30,66.666667,80,0.0,5,3,2
2719,2,60,60.0,20,11.111111,6,4,1
2720,2,30,80.0,80,22.222222,5,4,1
2722,1,30,46.666667,80,11.111111,5,3,1
2732,2,20,40.0,40,55.555556,2,5,1
2742,2,30,20.0,40,0.0,7,3,5
2746,1,30,40.0,20,33.333333,5,2,1
2747,2,40,60.0,20,0.0,7,3,1
2750,2,30,60.0,20,22.222222,5,5,1
2754,1,30,46.666667,40,0.0,1,5,1
2775,2,60,46.666667,60,44.444444,6,4,3
2776,1,60,80.0,20,11.111111,2,5,5
2789,1,40,46.666667,40,11.111111,5,3,1
2793,1,40,53.333333,20,0.0,5,4,2
2804,2,60,80.0,80,0.0,4,4,2
2812,1,90,73.333333,60,11.111111,6,3,1
2815,1,30,33.333333,80,11.111111,5,3,1
2820,2,30,40.0,20,11.111111,5,2,1
2826,2,70,66.666667,60,0.0,3,4,1
2827,1,40,40.0,20,33.333333,5,3,1
2829,2,40,40.0,80,0.0,2,4,1
2831,1,50,46.666667,80,22.222222,1,3,1
2834,2,30,60.0,60,0.0,6,3,1
2838,1,30,40.0,20,33.333333,6,4,1
2844,2,60,93.333333,80,11.111111,1,4,1
2848,2,30,40.0,20,22.222222,5,2,1
2870,2,40,53.333333,40,11.111111,5,3,1
2876,2,30,53.333333,20,22.222222,4,3,1
2883,2,30,46.666667,20,0.0,3,3,1
2885,2,30,46.666667,40,22.222222,7,2,1
2887,2,30,53.333333,20,11.111111,8,5,1
2889,1,30,40.0,20,11.111111,5,2,3
2891,2,20,20.0,20,0.0,5,1,2
2893,2,40,86.666667,20,0.0,10,5,5
2895,2,30,40.0,20,0.0,6,1,1
2899,2,30,40.0,20,22.222222,5,3,1
2902,2,50,66.666667,40,0.0,5,3,2
2908,2,30,60.0,0,0.0,1,5,5
2913,2,50,66.666667,20,11.111111,5,3,1
2921,1,40,73.333333,20,0.0,6,5,5
2928,1,30,46.666667,20,0.0,5,4,1
2931,1,60,53.333333,40,0.0,5,4,1
2934,2,30,40.0,20,0.0,7,4,1
2937,2,50,26.666667,60,11.111111,3,4,1
2944,1,20,20.0,20,0.0,5,1,1
2958,1,20,33.333333,20,0.0,4,4,1
2959,2,20,46.666667,20,11.111111,6,1,1
3001,2,30,33.333333,60,0.0,4,4,1
3019,1,60,40.0,40,0.0,2,2,1
3020,2,20,26.666667,20,44.444444,1,3,1
3023,2,40,46.666667,40,55.555556,5,3,1
3027,2,20,46.666667,20,0.0,8,3,1
3043,2,30,40.0,20,11.111111,5,2,1
3044,2,40,66.666667,80,22.222222,4,4,1
3053,2,30,40.0,80,22.222222,1,4,1
3060,1,30,60.0,60,0.0,1,4,1
3062,2,60,53.333333,80,0.0,5,3,5
3075,2,60,66.666667,80,0.0,5,5,2
3083,1,40,73.333333,20,0.0,7,3,1
3097,2,30,40.0,20,0.0,5,3,2
3101,1,50,60.0,40,11.111111,3,2,1
3110,1,40,73.333333,20,11.111111,6,3,1
3111,1,50,60.0,80,0.0,3,4,1
3118,1,20,46.666667,100,0.0,1,5,5
3125,1,30,33.333333,20,0.0,5,4,1
3128,1,30,60.0,20,0.0,1,5,5
3131,2,50,60.0,60,33.333333,3,5,1
3132,1,50,73.333333,40,11.111111,4,3,1
3133,2,60,66.666667,40,0.0,5,1,5
3134,1,60,53.333333,80,0.0,1,2,2
3140,2,30,40.0,60,55.555556,5,4,1
3145,2,40,60.0,40,0.0,5,3,1
3154,2,60,46.666667,60,0.0,5,3,1
3156,1,50,73.333333,20,22.222222,5,2,5
3158,1,30,53.333333,80,0.0,1,2,1
3166,1,30,46.666667,20,0.0,4,5,5
3168,1,30,60.0,80,11.111111,5,3,5
3177,2,30,40.0,20,0.0,5,2,1
3187,2,30,60.0,20,22.222222,3,3,1
